issuing_bank_name,issuing_bank_address,issuing_bank_swift,issuing_bank_tel,issuing_bank_account_number,issuing_bank_account_name,issuing_bank_officer,issuing_bank_officer_contact,confirming_bank_name,confirming_bank_address,confirming_bank_swift,confirming_bank_tel,confirming_bank_account_number,confirming_bank_account_name,confirming_bank_officer,confirming_bank_officer_contact,buyer_signatory_name,buyer_signatory_position,buyer_signatory_date,buyer_signature,seller_signatory_name,seller_signatory_position,seller_signatory_date,seller_signature
HSBC,"62 Finance Ave, Hamburg, Singapore",HSBCGBXX,+153-7343795,99808873,David Khan,Carlos Williams,+1-365054709,HSBC,"152 Trade Tower, Singapore, UAE",HSBCAEXX,+444-1614633,71917255,Sophia Khan,Nadia Garcia,+65-843938869,David Khan,Procurement Manager,2025-05-20,Signed Electronically,Sophia Khan,Export Manager,2025-05-23,Signed Electronically
HSBC,"119 Finance Ave, Rotterdam, Turkey",HSBCAEXX,+891-2785458,28952215,Hassan Brown,John Ivanov,+1-915521139,Union Credit Suisse,"54 Trade Tower, Istanbul, Egypt",UNIOSGXX,+911-5164004,50494900,John Brown,Ravi Diop,+44-447197694,Hassan Brown,CEO,2025-05-02,Signed Electronically,John Brown,Export Manager,2025-05-06,Signed Electronically
HSBC,"152 Finance Ave, Tokyo, India",HSBCGBXX,+641-1398801,48984078,Sarah Chen,Michael Martinez,+971-685699615,First Global Bank & Trust,"15 Trade Tower, New York, Qatar",FIRSGBXX,+831-4845976,12394866,Ali Muller,Carlos Williams,+971-421456899,Sarah Chen,Procurement Manager,2025-04-21,Signed Electronically,Ali Muller,Sales Director,2025-04-23,Signed Electronically
Standard Chartered,"154 Finance Ave, Abu Dhabi, UK",STANAEXX,+818-8692329,49805732,Michael Chen,Nadia Lee,+44-237812105,EuroCommerce Bank AG,"173 Trade Tower, Houston, Germany",EUROAEXX,+768-2844736,51746379,Michael Singh,Emma Singh,+65-505661143,Michael Chen,CEO,2025-07-20,Signed Electronically,Michael Singh,Sales Director,2025-07-21,Signed Electronically
Deutsche Bank,"189 Finance Ave, Houston, Netherlands",DEUTUSXX,+714-6921146,66520536,Sophia Petrov,Hassan Garcia,+44-567752716,First Global Bank & Trust,"135 Trade Tower, Istanbul, UAE",FIRSUSXX,+872-2095094,98275016,George Petrov,Carlos Petrov,+65-818183964,Sophia Petrov,Managing Partner,2024-12-05,Signed Electronically,George Petrov,Sales Director,2024-12-06,Signed Electronically
Deutsche Bank,"118 Finance Ave, London, USA",DEUTGBXX,+971-9484673,96564532,Omar Ibrahim,Yuki Ivanov,+65-396046566,BNP Paribas,"108 Trade Tower, Rotterdam, Turkey",BNPGBXX,+115-3386822,35616840,Yuki Brown,Omar Diop,+971-879815598,Omar Ibrahim,CEO,2025-04-25,Signed Electronically,Yuki Brown,Managing Director,2025-04-27,Signed Electronically
Emirates National Bank,"89 Finance Ave, Mumbai, UK",EMIRGBXX,+622-4706033,13071714,Nadia Chen,James Costa,+65-599671052,EuroCommerce Bank AG,"147 Trade Tower, New York, Germany",EUROGBXX,+162-2903741,52661422,George Williams,George Lee,+1-405612510,Nadia Chen,Managing Partner,2025-04-27,Signed Electronically,George Williams,Sales Director,2025-04-30,Signed Electronically
Standard Chartered,"193 Finance Ave, Mumbai, Egypt",STANSGXX,+643-3414087,11019884,Emma Brown,George Haddad,+44-599287992,BNP Paribas,"109 Trade Tower, New York, Switzerland",BNPGBXX,+930-9511763,70593131,David Fernandez,David Johnson,+44-632964299,Emma Brown,Trade Director,2024-11-24,Signed Electronically,David Fernandez,Sales Director,2024-11-29,Signed Electronically
BNP Paribas,"127 Finance Ave, Hamburg, UK",BNPSGXX,+513-2288664,88329850,Carlos Johnson,David Haddad,+1-179602549,Singapore Intercontinental Bank,"182 Trade Tower, Abu Dhabi, Egypt",SINGAEXX,+341-1516059,60887850,David Muller,Linda Lee,+971-976360287,Carlos Johnson,Managing Partner,2025-04-17,Signed Electronically,David Muller,Sales Director,2025-04-18,Signed Electronically
EuroCommerce Bank AG,"115 Finance Ave, Cairo, Germany",EUROUSXX,+940-7608995,23271929,Fatima Nakamura,John Singh,+44-249552529,First Global Bank & Trust,"20 Trade Tower, Istanbul, China",FIRSAEXX,+738-5932150,72238563,Hassan Singh,Michael Fernandez,+44-669570314,Fatima Nakamura,CEO,2025-01-17,Signed Electronically,Hassan Singh,Sales Director,2025-01-18,Signed Electronically
Deutsche Bank,"168 Finance Ave, Mumbai, Japan",DEUTAEXX,+542-6895724,41868621,Maria Khan,Hassan Martinez,+1-290811079,First Global Bank & Trust,"153 Trade Tower, New York, USA",FIRSGBXX,+468-2195660,47336578,George Petrov,Laura Williams,+971-111710151,Maria Khan,Managing Partner,2025-08-05,Signed Electronically,George Petrov,Export Manager,2025-08-07,Signed Electronically
BNP Paribas,"156 Finance Ave, Istanbul, Singapore",BNPAEXX,+755-6958463,88172151,Linda Khan,James Williams,+65-985665033,Standard Chartered,"79 Trade Tower, Geneva, UAE",STANAEXX,+385-4832908,48806233,George Brown,Omar Brown,+971-458881565,Linda Khan,Procurement Manager,2024-12-08,Signed Electronically,George Brown,Export Manager,2024-12-12,Signed Electronically
BNP Paribas,"44 Finance Ave, New York, USA",BNPDEXX,+887-5843174,69045503,Sarah Fernandez,Ali Chen,+1-808749377,Emirates National Bank,"190 Trade Tower, Cairo, Egypt",EMIRSGXX,+124-8823581,69953828,John Lee,John Brown,+971-235513974,Sarah Fernandez,Procurement Manager,2025-09-06,Signed Electronically,John Lee,Sales Director,2025-09-09,Signed Electronically
Citibank,"140 Finance Ave, London, UK",CITIAEXX,+386-4004579,27651112,Ravi Khan,Ahmed Singh,+65-911691455,First Global Bank & Trust,"69 Trade Tower, Istanbul, India",FIRSSGXX,+788-2990992,81933487,James Smith,Yuki Costa,+65-264674322,Ravi Khan,Procurement Manager,2025-01-23,Signed Electronically,James Smith,Export Manager,2025-01-24,Signed Electronically
Citibank,"76 Finance Ave, Tokyo, Switzerland",CITIGBXX,+945-6867963,10924894,Emma Petrov,Emma Brown,+65-491112317,BNP Paribas,"119 Trade Tower, Dubai, UAE",BNPDEXX,+889-5393423,94097720,Laura Chen,Carlos Johnson,+1-636041800,Emma Petrov,Trade Director,2024-11-19,Signed Electronically,Laura Chen,Sales Director,2024-11-23,Signed Electronically
Deutsche Bank,"181 Finance Ave, Rotterdam, USA",DEUTAEXX,+813-9374099,13598318,Emma Singh,Ahmed Haddad,+1-153149570,Emirates National Bank,"25 Trade Tower, Doha, India",EMIRAEXX,+772-4830920,26272529,Yuki Khan,Sophia Muller,+971-356787171,Emma Singh,Managing Partner,2025-01-18,Signed Electronically,Yuki Khan,Sales Director,2025-01-21,Signed Electronically
Deutsche Bank,"114 Finance Ave, Istanbul, USA",DEUTGBXX,+345-3220858,76439680,Nadia Williams,Maria Petrov,+971-654807516,Singapore Intercontinental Bank,"59 Trade Tower, London, Singapore",SINGGBXX,+376-8081542,87464742,Sophia Singh,Michael Silva,+44-484419991,Nadia Williams,Procurement Manager,2025-09-01,Signed Electronically,Sophia Singh,Export Manager,2025-09-02,Signed Electronically
Citibank,"12 Finance Ave, Mumbai, UAE",CITIUSXX,+467-6850106,80887168,Ahmed Garcia,Sophia Petrov,+44-263082253,BNP Paribas,"110 Trade Tower, Hong Kong, Japan",BNPDEXX,+111-1981478,92911867,Nadia Brown,Linda Smith,+44-142446062,Ahmed Garcia,Managing Partner,2025-09-13,Signed Electronically,Nadia Brown,Managing Director,2025-09-16,Signed Electronically
Singapore Intercontinental Bank,"44 Finance Ave, Istanbul, UK",SINGUSXX,+828-4228599,83746734,Laura Singh,Hassan Johnson,+1-752920729,Singapore Intercontinental Bank,"109 Trade Tower, Istanbul, USA",SINGUSXX,+959-2091250,46050344,Ravi Diop,Laura Garcia,+971-199811328,Laura Singh,Procurement Manager,2025-03-04,Signed Electronically,Ravi Diop,Sales Director,2025-03-07,Signed Electronically
Emirates National Bank,"102 Finance Ave, London, Qatar",EMIRAEXX,+472-1793208,47697134,Emma Muller,Michael Diop,+65-225597045,EuroCommerce Bank AG,"31 Trade Tower, Hamburg, China",EUROGBXX,+446-6237256,27123167,George Costa,Emma Diop,+65-775831825,Emma Muller,Procurement Manager,2025-04-30,Signed Electronically,George Costa,Export Manager,2025-05-03,Signed Electronically
Deutsche Bank,"182 Finance Ave, New York, Netherlands",DEUTGBXX,+759-7090735,51413280,Hassan Brown,Yuki Chen,+65-524560601,Standard Chartered,"173 Trade Tower, New York, UAE",STANDEXX,+819-7871779,65057221,David Garcia,Nadia Khan,+44-331286741,Hassan Brown,Managing Partner,2024-11-19,Signed Electronically,David Garcia,Sales Director,2024-11-22,Signed Electronically
Singapore Intercontinental Bank,"133 Finance Ave, Istanbul, UAE",SINGAEXX,+678-1042946,95908581,Yuki Singh,James Khan,+44-233470896,HSBC,"110 Trade Tower, London, USA",HSBCDEXX,+846-5990143,16328698,Ali Diop,George Petrov,+971-440011907,Yuki Singh,Trade Director,2025-01-06,Signed Electronically,Ali Diop,Export Manager,2025-01-08,Signed Electronically
EuroCommerce Bank AG,"10 Finance Ave, Dubai, Turkey",EURODEXX,+409-2159878,13358967,Fatima Ibrahim,Yuki Smith,+1-984740157,Standard Chartered,"11 Trade Tower, London, USA",STANUSXX,+860-5506304,44024117,Yuki Williams,Carlos Martinez,+65-896534166,Fatima Ibrahim,Procurement Manager,2024-11-19,Signed Electronically,Yuki Williams,Export Manager,2024-11-20,Signed Electronically
Emirates National Bank,"15 Finance Ave, Houston, UAE",EMIRDEXX,+739-7808897,11279891,Laura Ibrahim,Yuki Johnson,+971-951457701,Union Credit Suisse,"128 Trade Tower, Mumbai, UAE",UNIOUSXX,+660-2941422,10988117,Carlos Ivanov,Sarah Petrov,+44-404122472,Laura Ibrahim,CEO,2024-12-21,Signed Electronically,Carlos Ivanov,Managing Director,2024-12-22,Signed Electronically
BNP Paribas,"102 Finance Ave, Dubai, Egypt",BNPDEXX,+914-2209391,49794640,James Williams,Omar Costa,+65-997376212,EuroCommerce Bank AG,"186 Trade Tower, Singapore, Singapore",EUROSGXX,+847-7897558,66741446,Carlos Costa,Ali Johnson,+44-481265395,James Williams,Trade Director,2025-07-23,Signed Electronically,Carlos Costa,Export Manager,2025-07-24,Signed Electronically
HSBC,"105 Finance Ave, Hong Kong, Switzerland",HSBCAEXX,+951-3478664,22359361,Ravi Petrov,Fatima Nakamura,+971-161883879,Union Credit Suisse,"173 Trade Tower, Hong Kong, USA",UNIODEXX,+671-3634783,48003714,Michael Nakamura,Emma Smith,+1-179939295,Ravi Petrov,Trade Director,2025-06-13,Signed Electronically,Michael Nakamura,Export Manager,2025-06-15,Signed Electronically
Citibank,"163 Finance Ave, New York, USA",CITIAEXX,+463-5588268,47833756,Linda Silva,Laura Petrov,+65-223487500,Citibank,"64 Trade Tower, London, India",CITIDEXX,+897-2636690,37082873,Sophia Johnson,John Khan,+1-299507662,Linda Silva,Trade Director,2025-07-12,Signed Electronically,Sophia Johnson,Export Manager,2025-07-17,Signed Electronically
Standard Chartered,"98 Finance Ave, Singapore, Japan",STANAEXX,+342-5391832,63663115,James Singh,John Petrov,+44-737950103,EuroCommerce Bank AG,"77 Trade Tower, Dubai, USA",EURODEXX,+804-8074921,74094761,Maria Martinez,Sarah Petrov,+65-231050763,James Singh,Trade Director,2025-01-24,Signed Electronically,Maria Martinez,Export Manager,2025-01-27,Signed Electronically
BNP Paribas,"27 Finance Ave, Singapore, India",BNPGBXX,+610-7803292,88542280,Ravi Silva,George Ibrahim,+971-291530616,BNP Paribas,"14 Trade Tower, Hamburg, Netherlands",BNPSGXX,+166-3353259,70128677,Emma Garcia,James Smith,+971-906598170,Ravi Silva,Procurement Manager,2025-02-02,Signed Electronically,Emma Garcia,Sales Director,2025-02-04,Signed Electronically
Citibank,"89 Finance Ave, Tokyo, Qatar",CITISGXX,+223-1778701,12754739,Nadia Costa,Carlos Haddad,+65-955826977,Emirates National Bank,"28 Trade Tower, London, UK",EMIRGBXX,+609-8161499,26797578,Carlos Singh,Ali Costa,+971-474804680,Nadia Costa,CEO,2025-05-04,Signed Electronically,Carlos Singh,Managing Director,2025-05-06,Signed Electronically
Standard Chartered,"118 Finance Ave, Rotterdam, Singapore",STANDEXX,+560-5308127,33116582,Sarah Singh,Nadia Haddad,+65-490498500,EuroCommerce Bank AG,"20 Trade Tower, New York, Qatar",EUROGBXX,+258-3680807,49768816,Ali Muller,Laura Williams,+44-468695433,Sarah Singh,Managing Partner,2025-04-27,Signed Electronically,Ali Muller,Export Manager,2025-05-02,Signed Electronically
Deutsche Bank,"159 Finance Ave, New York, Turkey",DEUTSGXX,+421-2864126,92398711,Hassan Garcia,Ali Fernandez,+971-476497171,BNP Paribas,"41 Trade Tower, Doha, USA",BNPGBXX,+280-9462348,57962196,Sophia Ibrahim,Sarah Fernandez,+44-122860455,Hassan Garcia,CEO,2025-04-26,Signed Electronically,Sophia Ibrahim,Sales Director,2025-04-28,Signed Electronically
Deutsche Bank,"40 Finance Ave, Hong Kong, USA",DEUTUSXX,+364-3382519,86775000,Omar Nakamura,Laura Haddad,+971-397696401,Union Credit Suisse,"95 Trade Tower, Singapore, India",UNIOAEXX,+392-8126564,26026411,Ravi Garcia,Nadia Khan,+44-584670929,Omar Nakamura,CEO,2025-09-19,Signed Electronically,Ravi Garcia,Managing Director,2025-09-23,Signed Electronically
Union Credit Suisse,"95 Finance Ave, Hong Kong, USA",UNIODEXX,+268-8251982,99007386,Omar Petrov,Linda Williams,+1-928156082,HSBC,"116 Trade Tower, New York, USA",HSBCAEXX,+707-5761021,30665190,Emma Ivanov,Sophia Khan,+44-811709934,Omar Petrov,Managing Partner,2025-04-03,Signed Electronically,Emma Ivanov,Sales Director,2025-04-07,Signed Electronically
EuroCommerce Bank AG,"188 Finance Ave, Doha, UAE",EUROAEXX,+198-3081027,96671795,Michael Nakamura,Fatima Ibrahim,+65-348154121,First Global Bank & Trust,"51 Trade Tower, Mumbai, Qatar",FIRSUSXX,+414-2025974,13666555,Ahmed Martinez,Fatima Haddad,+1-691491886,Michael Nakamura,Managing Partner,2024-12-21,Signed Electronically,Ahmed Martinez,Export Manager,2024-12-22,Signed Electronically
BNP Paribas,"30 Finance Ave, New York, UK",BNPAEXX,+780-8322961,51595211,Laura Silva,David Diop,+44-808215694,Singapore Intercontinental Bank,"156 Trade Tower, Hamburg, USA",SINGAEXX,+141-5069882,64337640,Omar Costa,Sophia Brown,+65-554665934,Laura Silva,Managing Partner,2025-02-19,Signed Electronically,Omar Costa,Managing Director,2025-02-21,Signed Electronically
Deutsche Bank,"114 Finance Ave, Dubai, Qatar",DEUTUSXX,+870-3873444,52529587,Ravi Fernandez,Michael Silva,+44-681386115,BNP Paribas,"64 Trade Tower, Geneva, Turkey",BNPAEXX,+815-9710739,46059672,Linda Garcia,John Williams,+44-854003695,Ravi Fernandez,Managing Partner,2025-08-21,Signed Electronically,Linda Garcia,Managing Director,2025-08-23,Signed Electronically
HSBC,"27 Finance Ave, Geneva, UAE",HSBCUSXX,+369-6047871,83906617,Sarah Muller,Maria Smith,+44-492471598,HSBC,"100 Trade Tower, London, Egypt",HSBCDEXX,+961-9594896,39540357,Nadia Singh,Sophia Silva,+971-118444471,Sarah Muller,CEO,2025-05-05,Signed Electronically,Nadia Singh,Managing Director,2025-05-06,Signed Electronically
Union Credit Suisse,"125 Finance Ave, Abu Dhabi, India",UNIOUSXX,+611-9699560,77108356,Emma Chen,Michael Ivanov,+44-231626952,Emirates National Bank,"156 Trade Tower, Dubai, UK",EMIRGBXX,+813-5860268,33961684,Fatima Petrov,Emma Fernandez,+1-711496336,Emma Chen,CEO,2025-05-28,Signed Electronically,Fatima Petrov,Managing Director,2025-05-31,Signed Electronically
Emirates National Bank,"104 Finance Ave, Hong Kong, UK",EMIRGBXX,+165-7032979,62407616,Ali Ibrahim,Hassan Nakamura,+44-882437181,BNP Paribas,"190 Trade Tower, Doha, Netherlands",BNPDEXX,+408-4771846,88188971,Ahmed Smith,Laura Chen,+1-725464039,Ali Ibrahim,Procurement Manager,2025-09-07,Signed Electronically,Ahmed Smith,Export Manager,2025-09-08,Signed Electronically
First Global Bank & Trust,"45 Finance Ave, Istanbul, Netherlands",FIRSAEXX,+166-8058600,13920256,Maria Silva,Omar Nakamura,+1-205254329,BNP Paribas,"68 Trade Tower, Houston, India",BNPGBXX,+957-9409683,38012867,Ravi Smith,David Nakamura,+971-191172298,Maria Silva,CEO,2025-01-05,Signed Electronically,Ravi Smith,Managing Director,2025-01-07,Signed Electronically
Emirates National Bank,"16 Finance Ave, Singapore, Switzerland",EMIRAEXX,+133-1631255,47600950,Ahmed Singh,Ravi Diop,+971-497358349,Standard Chartered,"92 Trade Tower, Singapore, UK",STANDEXX,+854-6435014,41354982,Maria Martinez,Ahmed Ibrahim,+1-935861506,Ahmed Singh,Procurement Manager,2025-04-28,Signed Electronically,Maria Martinez,Sales Director,2025-04-30,Signed Electronically
Standard Chartered,"122 Finance Ave, Houston, Netherlands",STANDEXX,+330-6909144,43759325,Ravi Garcia,Sarah Garcia,+1-543117152,Union Credit Suisse,"52 Trade Tower, Houston, UAE",UNIOAEXX,+904-9743419,18856274,Fatima Petrov,Nadia Haddad,+44-261195952,Ravi Garcia,Trade Director,2025-08-01,Signed Electronically,Fatima Petrov,Export Manager,2025-08-04,Signed Electronically
Singapore Intercontinental Bank,"138 Finance Ave, New York, Qatar",SINGGBXX,+897-7035298,35598650,Linda Khan,Sophia Nakamura,+65-283918774,Standard Chartered,"121 Trade Tower, Houston, India",STANUSXX,+337-9854178,52219635,Ravi Haddad,Yuki Silva,+44-835457817,Linda Khan,Managing Partner,2025-07-22,Signed Electronically,Ravi Haddad,Sales Director,2025-07-24,Signed Electronically
Union Credit Suisse,"149 Finance Ave, Istanbul, Germany",UNIOAEXX,+335-2707422,73819651,James Khan,Sophia Costa,+44-648494873,Citibank,"77 Trade Tower, Dubai, Netherlands",CITISGXX,+206-7782741,34638733,Maria Garcia,Ahmed Fernandez,+65-290883408,James Khan,Trade Director,2024-10-24,Signed Electronically,Maria Garcia,Managing Director,2024-10-27,Signed Electronically
Citibank,"82 Finance Ave, Rotterdam, Turkey",CITISGXX,+627-5267314,21027682,James Singh,John Silva,+1-987125217,Citibank,"81 Trade Tower, London, Germany",CITIAEXX,+488-3620788,79238038,Nadia Johnson,Hassan Johnson,+65-548887420,James Singh,Managing Partner,2025-08-30,Signed Electronically,Nadia Johnson,Managing Director,2025-09-03,Signed Electronically
Standard Chartered,"163 Finance Ave, London, Singapore",STANAEXX,+470-9067231,17982871,Nadia Brown,Maria Muller,+65-870095560,Singapore Intercontinental Bank,"160 Trade Tower, New York, Egypt",SINGDEXX,+645-1608745,10656768,Sarah Martinez,George Chen,+65-377017211,Nadia Brown,CEO,2025-01-01,Signed Electronically,Sarah Martinez,Export Manager,2025-01-04,Signed Electronically
First Global Bank & Trust,"95 Finance Ave, Abu Dhabi, UAE",FIRSDEXX,+594-8687136,64875854,Linda Nakamura,John Garcia,+971-646387770,Standard Chartered,"56 Trade Tower, Houston, Singapore",STANUSXX,+627-4383741,97612121,James Petrov,John Johnson,+44-945476505,Linda Nakamura,Trade Director,2025-06-01,Signed Electronically,James Petrov,Sales Director,2025-06-03,Signed Electronically
HSBC,"126 Finance Ave, Rotterdam, USA",HSBCSGXX,+803-6880091,87913012,John Williams,Linda Johnson,+44-403325916,Emirates National Bank,"65 Trade Tower, Doha, Japan",EMIRSGXX,+531-2016339,74339716,Nadia Smith,Emma Garcia,+1-994460327,John Williams,Managing Partner,2025-02-26,Signed Electronically,Nadia Smith,Sales Director,2025-02-28,Signed Electronically
BNP Paribas,"184 Finance Ave, Tokyo, UK",BNPAEXX,+920-3950973,20262292,David Williams,Linda Costa,+44-662440420,Standard Chartered,"124 Trade Tower, Tokyo, Japan",STANUSXX,+693-4764528,60184219,David Martinez,Ravi Lee,+971-809322165,David Williams,Managing Partner,2025-01-03,Signed Electronically,David Martinez,Sales Director,2025-01-07,Signed Electronically
First Global Bank & Trust,"45 Finance Ave, Dubai, Qatar",FIRSGBXX,+102-7324668,68821560,Fatima Costa,Yuki Chen,+44-800666019,Standard Chartered,"189 Trade Tower, Cairo, Germany",STANGBXX,+167-5737800,52761140,Carlos Singh,Linda Nakamura,+44-703712555,Fatima Costa,Trade Director,2025-08-24,Signed Electronically,Carlos Singh,Export Manager,2025-08-27,Signed Electronically
HSBC,"34 Finance Ave, Istanbul, Qatar",HSBCUSXX,+185-7993823,65493994,Fatima Muller,David Petrov,+44-163734562,BNP Paribas,"108 Trade Tower, New York, UAE",BNPAEXX,+714-4835874,48728426,Maria Petrov,Maria Lee,+1-458960482,Fatima Muller,Procurement Manager,2025-07-02,Signed Electronically,Maria Petrov,Managing Director,2025-07-04,Signed Electronically
Standard Chartered,"191 Finance Ave, Doha, UAE",STANSGXX,+546-3384806,86705272,John Nakamura,Emma Khan,+1-698513155,First Global Bank & Trust,"39 Trade Tower, Houston, USA",FIRSSGXX,+757-7979526,25933704,Ahmed Smith,Carlos Johnson,+44-956566316,John Nakamura,Trade Director,2025-05-09,Signed Electronically,Ahmed Smith,Export Manager,2025-05-13,Signed Electronically
Union Credit Suisse,"199 Finance Ave, Singapore, Egypt",UNIOGBXX,+163-2491032,25518233,Yuki Petrov,Ahmed Brown,+1-438288958,Union Credit Suisse,"10 Trade Tower, Tokyo, China",UNIODEXX,+799-9594299,74012064,Laura Garcia,Emma Brown,+65-752576347,Yuki Petrov,Procurement Manager,2025-04-28,Signed Electronically,Laura Garcia,Sales Director,2025-05-01,Signed Electronically
Standard Chartered,"20 Finance Ave, Rotterdam, UK",STANGBXX,+890-8596076,16109581,Michael Chen,Laura Muller,+971-328046289,HSBC,"165 Trade Tower, Hamburg, Singapore",HSBCAEXX,+304-2471050,70051973,Carlos Fernandez,Maria Silva,+44-869320235,Michael Chen,Procurement Manager,2025-02-09,Signed Electronically,Carlos Fernandez,Sales Director,2025-02-12,Signed Electronically
EuroCommerce Bank AG,"100 Finance Ave, Hamburg, UAE",EUROGBXX,+311-2216942,35205964,George Nakamura,Carlos Costa,+44-728893091,First Global Bank & Trust,"167 Trade Tower, Dubai, Qatar",FIRSGBXX,+841-2421661,86190979,Omar Nakamura,Sophia Johnson,+971-598184663,George Nakamura,Trade Director,2025-05-05,Signed Electronically,Omar Nakamura,Export Manager,2025-05-08,Signed Electronically
Citibank,"53 Finance Ave, Abu Dhabi, Germany",CITIGBXX,+752-9487994,97694818,Yuki Haddad,Emma Muller,+65-769328125,First Global Bank & Trust,"126 Trade Tower, Cairo, UAE",FIRSAEXX,+669-6853051,61962061,Omar Singh,Ali Diop,+971-679624871,Yuki Haddad,CEO,2025-07-26,Signed Electronically,Omar Singh,Export Manager,2025-07-28,Signed Electronically
Citibank,"180 Finance Ave, Doha, USA",CITISGXX,+826-5701171,20517419,James Fernandez,John Petrov,+971-585669930,Emirates National Bank,"130 Trade Tower, Hamburg, India",EMIRSGXX,+362-8529182,14114585,Sophia Costa,Michael Khan,+971-928812231,James Fernandez,CEO,2025-10-16,Signed Electronically,Sophia Costa,Sales Director,2025-10-17,Signed Electronically
EuroCommerce Bank AG,"61 Finance Ave, Tokyo, Singapore",EURODEXX,+190-9532068,68269705,Sophia Haddad,Emma Diop,+44-553240468,Deutsche Bank,"58 Trade Tower, Doha, Germany",DEUTUSXX,+332-8585764,80409202,Omar Brown,Sarah Garcia,+44-200829378,Sophia Haddad,Trade Director,2025-03-23,Signed Electronically,Omar Brown,Sales Director,2025-03-24,Signed Electronically
EuroCommerce Bank AG,"87 Finance Ave, Doha, India",EUROAEXX,+886-7721071,62715142,Maria Johnson,Maria Nakamura,+44-555142291,Standard Chartered,"180 Trade Tower, London, China",STANDEXX,+986-3531525,59092399,Sarah Fernandez,Sarah Chen,+971-760947839,Maria Johnson,Procurement Manager,2024-12-27,Signed Electronically,Sarah Fernandez,Export Manager,2024-12-28,Signed Electronically
Citibank,"35 Finance Ave, New York, Netherlands",CITIGBXX,+778-6332977,94325475,Omar Khan,Michael Garcia,+1-474711777,Deutsche Bank,"188 Trade Tower, Houston, UAE",DEUTAEXX,+821-2076386,48467442,Ali Ivanov,Fatima Brown,+1-945153691,Omar Khan,Trade Director,2025-01-07,Signed Electronically,Ali Ivanov,Export Manager,2025-01-12,Signed Electronically
Emirates National Bank,"145 Finance Ave, Istanbul, Singapore",EMIRSGXX,+954-8056404,99758063,Nadia Khan,David Chen,+44-213445561,Standard Chartered,"72 Trade Tower, Mumbai, Netherlands",STANGBXX,+788-1821017,89420535,Michael Chen,Hassan Lee,+1-766977087,Nadia Khan,CEO,2024-12-10,Signed Electronically,Michael Chen,Managing Director,2024-12-12,Signed Electronically
First Global Bank & Trust,"39 Finance Ave, Hong Kong, Germany",FIRSUSXX,+426-6012490,75375289,Emma Costa,Sarah Johnson,+65-887174733,EuroCommerce Bank AG,"129 Trade Tower, Tokyo, India",EUROGBXX,+469-1926830,43492045,Emma Khan,Sarah Chen,+1-878326163,Emma Costa,Managing Partner,2025-10-08,Signed Electronically,Emma Khan,Export Manager,2025-10-09,Signed Electronically
Union Credit Suisse,"84 Finance Ave, Houston, UAE",UNIOAEXX,+462-2355266,87748798,Nadia Costa,David Smith,+65-326490049,EuroCommerce Bank AG,"85 Trade Tower, Singapore, USA",EURODEXX,+553-2184165,13789167,Ali Williams,David Haddad,+1-900962684,Nadia Costa,Trade Director,2025-04-08,Signed Electronically,Ali Williams,Export Manager,2025-04-13,Signed Electronically
BNP Paribas,"160 Finance Ave, Mumbai, USA",BNPAEXX,+985-7180998,40541380,Omar Muller,Sophia Petrov,+44-225590359,Citibank,"145 Trade Tower, Abu Dhabi, USA",CITIUSXX,+876-1091499,90873731,Sophia Garcia,James Johnson,+44-561002079,Omar Muller,CEO,2025-05-22,Signed Electronically,Sophia Garcia,Managing Director,2025-05-27,Signed Electronically
Standard Chartered,"168 Finance Ave, Istanbul, USA",STANDEXX,+154-9771661,79716201,George Johnson,Ali Diop,+971-963026291,HSBC,"150 Trade Tower, Istanbul, Germany",HSBCDEXX,+730-6501520,12573500,Ali Martinez,Ahmed Ibrahim,+971-762222282,George Johnson,Managing Partner,2025-05-01,Signed Electronically,Ali Martinez,Managing Director,2025-05-04,Signed Electronically
Singapore Intercontinental Bank,"128 Finance Ave, Mumbai, UAE",SINGGBXX,+373-7283045,61946557,Maria Brown,Hassan Johnson,+1-403214273,Deutsche Bank,"104 Trade Tower, New York, UK",DEUTSGXX,+946-4808153,79411391,Ravi Ivanov,Ali Singh,+971-794364546,Maria Brown,CEO,2025-04-04,Signed Electronically,Ravi Ivanov,Managing Director,2025-04-06,Signed Electronically
Singapore Intercontinental Bank,"132 Finance Ave, Singapore, USA",SINGDEXX,+239-4369820,80857318,Carlos Haddad,Michael Lee,+44-487124333,BNP Paribas,"58 Trade Tower, Houston, Qatar",BNPDEXX,+172-6795033,89667565,David Lee,David Fernandez,+1-286777952,Carlos Haddad,CEO,2025-01-15,Signed Electronically,David Lee,Sales Director,2025-01-20,Signed Electronically
Union Credit Suisse,"165 Finance Ave, Houston, India",UNIOGBXX,+719-2509053,46932919,Ali Haddad,Sophia Chen,+971-878894757,Citibank,"54 Trade Tower, Tokyo, India",CITISGXX,+477-9012576,79796080,Emma Chen,Omar Costa,+44-231330091,Ali Haddad,CEO,2025-08-01,Signed Electronically,Emma Chen,Export Manager,2025-08-05,Signed Electronically
